DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
2024-02-19 00:00:00,14.4,,18.0,,,,1,28,76,108
2024-02-19 01:00:00,17.5,,17.0,,,,1,28,76,106
2024-02-19 02:00:00,14.0,,18.0,,,,0,28,76,104
2024-02-19 03:00:00,13.6,,18.0,,,,1,28,74,96
2024-02-19 04:00:00,14.4,,17.0,,,,1,27,78,94
2024-02-19 05:00:00,13.2,,18.0,,,,1,27,78,102
2024-02-19 06:00:00,13.5,,15.0,,,,0,27,78,102
2024-02-19 07:00:00,19.7,,14.0,,,,1,28,76,96
2024-02-19 08:00:00,19.0,,18.0,,,,1,29,71,112
2024-02-19 09:00:00,10.2,,,,,,1,31,61,115
2024-02-19 10:00:00,13.5,,22.0,,,,1,31,57,136
2024-02-19 11:00:00,14.4,,22.0,,,,1,32,55,147
2024-02-19 12:00:00,14.7,,24.0,,,,2,32,55,139
2024-02-19 13:00:00,10.6,,23.0,,,,1,33,52,155
2024-02-19 14:00:00,11.9,,20.0,,,,1,33,57,169
2024-02-19 15:00:00,9.8,,19.0,,,,1,31,60,157
2024-02-19 16:00:00,8.5,,18.0,,,,1,31,60,177
2024-02-19 17:00:00,12.7,,15.0,,,,1,30,65,144
2024-02-19 18:00:00,14.1,,18.0,,,,1,29,69,126
2024-02-19 19:00:00,20.0,,17.0,,,,1,29,74,119
2024-02-19 20:00:00,18.8,,17.0,,,,1,28,77,110
2024-02-19 21:00:00,19.8,,26.0,,,,1,28,78,112
2024-02-19 22:00:00,23.5,,26.0,,,,1,28,78,115
2024-02-19 23:00:00,13.0,,15.0,,,,1,28,78,117
2024-02-20 00:00:00,11.3,,15.0,,,,1,28,78,111
2024-02-20 01:00:00,15.2,,9.0,,,,0,27,83,111
2024-02-20 02:00:00,19.2,,7.0,,,,0,27,85,107
2024-02-20 03:00:00,11.8,,8.0,,,,0,27,87,107
2024-02-20 04:00:00,14.3,,7.0,,,,0,27,87,107
2024-02-20 05:00:00,18.9,,4.0,,,,0,26,88,106
2024-02-20 06:00:00,26.2,,3.0,,,,0,26,89,106
2024-02-20 07:00:00,28.9,,6.0,,,,0,27,85,105
2024-02-20 08:00:00,31.4,,18.0,,,,1,29,69,112
2024-02-20 09:00:00,19.0,,25.0,,,,1,31,62,93
2024-02-20 10:00:00,15.7,,,,,,1,32,56,104
2024-02-20 11:00:00,17.8,,19.0,,,,1,34,48,127
2024-02-20 12:00:00,14.5,,19.0,,,,1,34,47,167
2024-02-20 13:00:00,13.5,,19.0,,,,1,34,48,170
2024-02-20 14:00:00,9.8,,19.0,,,,1,34,46,151
2024-02-20 15:00:00,10.7,,20.0,,,,1,33,52,194
2024-02-20 16:00:00,14.7,,18.0,,,,1,32,59,175
2024-02-20 17:00:00,13.1,,16.0,,,,1,30,65,140
2024-02-20 18:00:00,19.0,,17.0,,,,1,29,70,129
2024-02-20 19:00:00,18.3,,16.0,,,,1,29,72,115
2024-02-20 20:00:00,13.1,,18.0,,,,2,29,73,116
2024-02-20 21:00:00,10.9,,27.0,,,,1,28,73,110
2024-02-20 22:00:00,10.3,,27.0,,,,1,28,75,108
2024-02-20 23:00:00,11.5,,21.0,,,,1,28,77,108
